Date,Time,Time of Day,Second,Kelvins
2020-06-12,00:00,Night,0,1500
2020-06-12,07:01,Early Morning,45,1501
2020-06-12,07:01,Early Morning,47,1502
2020-06-12,07:01,Early Morning,50,1503
2020-06-12,07:01,Early Morning,52,1504
2020-06-12,07:01,Early Morning,54,1505
2020-06-12,07:01,Early Morning,57,1506
2020-06-12,07:01,Early Morning,59,1507
2020-06-12,07:02,Early Morning,2,1508
2020-06-12,07:02,Early Morning,4,1509
2020-06-12,07:02,Early Morning,6,1510
2020-06-12,07:02,Early Morning,9,1511
2020-06-12,07:02,Early Morning,11,1512
2020-06-12,07:02,Early Morning,14,1513
2020-06-12,07:02,Early Morning,16,1514
2020-06-12,07:02,Early Morning,18,1515
2020-06-12,07:02,Early Morning,21,1516
2020-06-12,07:02,Early Morning,23,1517
2020-06-12,07:02,Early Morning,26,1518
2020-06-12,07:02,Early Morning,28,1519
2020-06-12,07:02,Early Morning,30,1520
2020-06-12,07:02,Early Morning,33,1521
2020-06-12,07:02,Early Morning,35,1522
2020-06-12,07:02,Early Morning,38,1523
2020-06-12,07:02,Early Morning,40,1524
2020-06-12,07:02,Early Morning,42,1525
2020-06-12,07:02,Early Morning,45,1526
2020-06-12,07:02,Early Morning,47,1527
2020-06-12,07:02,Early Morning,50,1528
2020-06-12,07:02,Early Morning,52,1529
2020-06-12,07:02,Early Morning,54,1530
2020-06-12,07:02,Early Morning,57,1531
2020-06-12,07:02,Early Morning,59,1532
2020-06-12,07:03,Early Morning,2,1533
2020-06-12,07:03,Early Morning,4,1534
2020-06-12,07:03,Early Morning,6,1535
2020-06-12,07:03,Early Morning,9,1536
2020-06-12,07:03,Early Morning,11,1537
2020-06-12,07:03,Early Morning,14,1538
2020-06-12,07:03,Early Morning,16,1539
2020-06-12,07:03,Early Morning,18,1540
2020-06-12,07:03,Early Morning,21,1541
2020-06-12,07:03,Early Morning,23,1542
2020-06-12,07:03,Early Morning,26,1543
2020-06-12,07:03,Early Morning,28,1544
2020-06-12,07:03,Early Morning,30,1545
2020-06-12,07:03,Early Morning,33,1546
2020-06-12,07:03,Early Morning,35,1547
2020-06-12,07:03,Early Morning,38,1548
2020-06-12,07:03,Early Morning,40,1549
2020-06-12,07:03,Early Morning,42,1550
2020-06-12,07:03,Early Morning,45,1551
2020-06-12,07:03,Early Morning,47,1552
2020-06-12,07:03,Early Morning,50,1553
2020-06-12,07:03,Early Morning,52,1554
2020-06-12,07:03,Early Morning,54,1555
2020-06-12,07:03,Early Morning,57,1556
2020-06-12,07:03,Early Morning,59,1557
2020-06-12,07:04,Early Morning,2,1558
2020-06-12,07:04,Early Morning,4,1559
2020-06-12,07:04,Early Morning,6,1560
